country,label,level,dependence
Guatemala,Renewable,1.0,0.6846153846153846
Guatemala,Total Electricity net generation,0.0,1.0
Guatemala,Biomass and waste,3.0,0.19230769230769232
Guatemala,Hydroelectric pumped storage,1.0,0.0
Liberia,Solar,4.0,0.0
Liberia,Tide and wave,4.0,0.0
Liberia,Nuclear,1.0,0.0
Liberia,Fossil fuels,1.0,1.0
Liberia,Wind,0.0,0.0
Liberia,"Solar, tide, wave, fuel cell",3.0,0.0
Liberia,Geothermal,3.0,0.0
Liberia,Hydroelectricity,2.0,0.0
Liberia,Renewable,1.0,0.0
Liberia,Non-hydro renewable,2.0,0.0
Liberia,Total Electricity net generation,0.0,1.0
Liberia,Biomass and waste,3.0,0.0
Liberia,Hydroelectric pumped storage,1.0,0.0
Lithuania,Solar,4.0,0.0
Lithuania,Tide and wave,4.0,0.0
Lithuania,Nuclear,1.0,0.0
Lithuania,Fossil fuels,1.0,0.21212121212121182
Lithuania,Wind,0.0,0.4242424242424239
Lithuania,"Solar, tide, wave, fuel cell",3.0,0.0
Lithuania,Geothermal,3.0,0.0
Lithuania,Hydroelectricity,2.0,0.18181818181818152
Lithuania,Renewable,1.0,0.7878787878787878
Lithuania,Non-hydro renewable,2.0,0.606060606060606
Lithuania,Total Electricity net generation,0.0,0.9393939393939393
Lithuania,Biomass and waste,3.0,0.18181818181818152
Lithuania,Hydroelectric pumped storage,1.0,-0.06060606060606061
Zambia,Solar,4.0,0.0
Zambia,Tide and wave,4.0,0.0
Zambia,Nuclear,1.0,0.0
Zambia,Biomass and waste,3.0,0.0
Zambia,Geothermal,3.0,0.0
Zambia,"Solar, tide, wave, fuel cell",3.0,0.0
Zambia,Wind,0.0,0.0
Zambia,Hydroelectricity,2.0,0.8571428571428571
Zambia,Fossil fuels,1.0,0.13571428571428565
Zambia,Renewable,1.0,0.8571428571428571
Zambia,Non-hydro renewable,2.0,0.0
Zambia,Total Electricity net generation,0.0,1.0
Zambia,Hydroelectric pumped storage,1.0,0.0
Trinidad and Tobago,Tide and wave,4.0,0.0
Trinidad and Tobago,Solar,4.0,0.0
Trinidad and Tobago,Fossil fuels,1.0,1.0
Trinidad and Tobago,Nuclear,1.0,0.0
Trinidad and Tobago,Wind,0.0,0.0
Trinidad and Tobago,"Solar, tide, wave, fuel cell",3.0,0.0
Trinidad and Tobago,Biomass and waste,3.0,0.0
Trinidad and Tobago,Geothermal,3.0,0.0
Trinidad and Tobago,Non-hydro renewable,2.0,0.0
Trinidad and Tobago,Hydroelectricity,2.0,0.0
Trinidad and Tobago,Renewable,1.0,0.0
Trinidad and Tobago,Total Electricity net generation,0.0,1.0
Trinidad and Tobago,Hydroelectric pumped storage,1.0,0.0
Guyana,Solar,4.0,0.0
Guyana,Tide and wave,4.0,0.0
Guyana,Nuclear,1.0,0.0
Guyana,Fossil fuels,1.0,1.0
Guyana,Wind,0.0,0.0
Guyana,"Solar, tide, wave, fuel cell",3.0,0.0
Guyana,Geothermal,3.0,0.0
Guyana,Non-hydro renewable,2.0,0.0
Guyana,Hydroelectricity,2.0,0.0
Guyana,Renewable,1.0,0.0
Guyana,Total Electricity net generation,0.0,1.0
Guyana,Biomass and waste,3.0,0.0
Guyana,Hydroelectric pumped storage,1.0,0.0
Saint Pierre and Miquelon,Tide and wave,4.0,0.0
Saint Pierre and Miquelon,Solar,4.0,0.0
Saint Pierre and Miquelon,Fossil fuels,1.0,0.0
Saint Pierre and Miquelon,Nuclear,1.0,0.0
Saint Pierre and Miquelon,Wind,0.0,0.0
Saint Pierre and Miquelon,"Solar, tide, wave, fuel cell",3.0,0.0
Saint Pierre and Miquelon,Biomass and waste,3.0,0.0
Saint Pierre and Miquelon,Geothermal,3.0,0.0
Saint Pierre and Miquelon,Non-hydro renewable,2.0,0.0
Saint Pierre and Miquelon,Hydroelectricity,2.0,0.0
Saint Pierre and Miquelon,Renewable,1.0,0.0
Saint Pierre and Miquelon,Total Electricity net generation,0.0,0.0
Saint Pierre and Miquelon,Hydroelectric pumped storage,1.0,0.0
Guinea,Solar,4.0,0.0
Guinea,Tide and wave,4.0,0.0
Guinea,Nuclear,1.0,0.0
Guinea,Fossil fuels,1.0,0.3125
Guinea,"Solar, tide, wave, fuel cell",3.0,0.0
Guinea,Wind,0.0,0.0
Guinea,Geothermal,3.0,0.0
Guinea,Biomass and waste,3.0,0.0
Guinea,Non-hydro renewable,2.0,0.0
Guinea,Renewable,1.0,0.6875
Guinea,Hydroelectricity,2.0,0.6875
Guinea,Total Electricity net generation,0.0,1.0
Guinea,Hydroelectric pumped storage,1.0,0.0
Somalia,Tide and wave,4.0,0.0
Somalia,Solar,4.0,0.0
Somalia,Fossil fuels,1.0,1.0
Somalia,Nuclear,1.0,0.0
Somalia,Wind,0.0,0.0
Somalia,"Solar, tide, wave, fuel cell",3.0,0.0
Somalia,Biomass and waste,3.0,0.0
Somalia,Geothermal,3.0,0.0
Somalia,Non-hydro renewable,2.0,0.0
Somalia,Hydroelectricity,2.0,0.0
Somalia,Renewable,1.0,0.0
Somalia,Total Electricity net generation,0.0,1.0
Somalia,Hydroelectric pumped storage,1.0,0.0
Maldives,Tide and wave,4.0,0.0
Maldives,Solar,4.0,0.0
Maldives,Nuclear,1.0,0.0
Maldives,Fossil fuels,1.0,1.0
Maldives,Geothermal,3.0,0.0
Maldives,"Solar, tide, wave, fuel cell",3.0,0.0
Maldives,Wind,0.0,0.0
Maldives,Hydroelectricity,2.0,0.0
Maldives,Renewable,1.0,0.0
Maldives,Non-hydro renewable,2.0,0.0
Maldives,Total Electricity net generation,0.0,1.0
Maldives,Biomass and waste,3.0,0.0
Maldives,Hydroelectric pumped storage,1.0,0.0
Malta,Tide and wave,4.0,0.0
Malta,Solar,4.0,0.125
Malta,Fossil fuels,1.0,0.8749999999999993
Malta,Nuclear,1.0,0.0
Malta,Geothermal,3.0,0.0
Malta,Wind,0.0,0.0
Malta,"Solar, tide, wave, fuel cell",3.0,0.125
Malta,Hydroelectricity,2.0,0.0
Malta,Renewable,1.0,0.125
Malta,Non-hydro renewable,2.0,0.125
Malta,Total Electricity net generation,0.0,1.0
Malta,Biomass and waste,3.0,0.0
Malta,Hydroelectric pumped storage,1.0,0.0
Paraguay,Tide and wave,4.0,0.0
Paraguay,Solar,4.0,0.0
Paraguay,Fossil fuels,1.0,0.0
Paraguay,Nuclear,1.0,0.0
Paraguay,Wind,0.0,0.0
Paraguay,"Solar, tide, wave, fuel cell",3.0,0.0
Paraguay,Biomass and waste,3.0,0.0016949152542372883
Paraguay,Geothermal,3.0,0.0
Paraguay,Non-hydro renewable,2.0,0.0016949152542372883
Paraguay,Hydroelectricity,2.0,1.0
Paraguay,Renewable,1.0,1.0
Paraguay,Total Electricity net generation,0.0,1.0
Paraguay,Hydroelectric pumped storage,1.0,0.0
Congo-Kinshasa,Tide and wave,4.0,0.0
Congo-Kinshasa,Solar,4.0,0.0
Congo-Kinshasa,Fossil fuels,1.0,0.0
Congo-Kinshasa,Geothermal,3.0,0.0
Congo-Kinshasa,Biomass and waste,3.0,0.0
Congo-Kinshasa,Hydroelectricity,2.0,1.0
Congo-Kinshasa,Nuclear,1.0,0.0
Congo-Kinshasa,Renewable,1.0,1.0
Congo-Kinshasa,Non-hydro renewable,2.0,0.0
Congo-Kinshasa,Total Electricity net generation,0.0,1.0
Congo-Kinshasa,"Solar, tide, wave, fuel cell",3.0,0.0
Congo-Kinshasa,Wind,0.0,0.0
Congo-Kinshasa,Hydroelectric pumped storage,1.0,0.0
Antarctica,Tide and wave,4.0,0.0
Antarctica,Solar,4.0,0.0
Antarctica,Fossil fuels,1.0,0.0
Antarctica,Biomass and waste,3.0,0.0
Antarctica,Wind,0.0,0.0
Antarctica,"Solar, tide, wave, fuel cell",3.0,0.0
Antarctica,Renewable,1.0,0.0
Antarctica,Hydroelectricity,2.0,0.0
Antarctica,Geothermal,3.0,0.0
Antarctica,Non-hydro renewable,2.0,0.0
Antarctica,Nuclear,1.0,0.0
Antarctica,Total Electricity net generation,0.0,0.0
Antarctica,Hydroelectric pumped storage,1.0,0.0
Nauru,Tide and wave,4.0,0.0
Nauru,Solar,4.0,0.0
Nauru,Fossil fuels,1.0,0.0
Nauru,Nuclear,1.0,0.0
Nauru,"Solar, tide, wave, fuel cell",3.0,0.0
Nauru,Biomass and waste,3.0,0.0
Nauru,Geothermal,3.0,0.0
Nauru,Wind,0.0,0.0
Nauru,Hydroelectricity,2.0,0.0
Nauru,Renewable,1.0,0.0
Nauru,Non-hydro renewable,2.0,0.0
Nauru,Total Electricity net generation,0.0,0.0
Nauru,Hydroelectric pumped storage,1.0,0.0
Iraq,Solar,4.0,0.0
Iraq,Tide and wave,4.0,0.0
Iraq,Nuclear,1.0,0.0
Iraq,Fossil fuels,1.0,0.9878048780487805
Iraq,"Solar, tide, wave, fuel cell",3.0,0.0
Iraq,Wind,0.0,0.0
Iraq,Geothermal,3.0,0.0
Iraq,Non-hydro renewable,2.0,0.0
Iraq,Hydroelectricity,2.0,0.017073170731707304
Iraq,Renewable,1.0,0.018292682926829267
Iraq,Total Electricity net generation,0.0,1.0
Iraq,Biomass and waste,3.0,0.0
Iraq,Hydroelectric pumped storage,1.0,0.0
Nepal,Tide and wave,4.0,0.0
Nepal,Solar,4.0,0.0
Nepal,Fossil fuels,1.0,0.0
Nepal,Nuclear,1.0,0.0
Nepal,"Solar, tide, wave, fuel cell",3.0,0.0
Nepal,Biomass and waste,3.0,0.0
Nepal,Geothermal,3.0,0.0
Nepal,Wind,0.0,0.0
Nepal,Hydroelectricity,2.0,0.9787234042553189
Nepal,Renewable,1.0,1.0
Nepal,Non-hydro renewable,2.0,0.0
Nepal,Total Electricity net generation,0.0,1.0
Nepal,Hydroelectric pumped storage,1.0,0.0
Morocco,Tide and wave,4.0,0.0
Morocco,Solar,4.0,0.013289036544850499
Morocco,Nuclear,1.0,0.0
Morocco,Fossil fuels,1.0,0.8305647840531561
Morocco,Wind,0.0,0.09966777408637874
Morocco,"Solar, tide, wave, fuel cell",3.0,0.013289036544850499
Morocco,Geothermal,3.0,0.0
Morocco,Hydroelectricity,2.0,0.03986710963455149
Morocco,Renewable,1.0,0.15282392026578068
Morocco,Non-hydro renewable,2.0,0.11627906976744186
Morocco,Total Electricity net generation,0.0,0.9966777408637874
Morocco,Biomass and waste,3.0,0.0
Morocco,Hydroelectric pumped storage,1.0,-0.0033222591362126247
French Polynesia,Tide and wave,4.0,0.0
French Polynesia,Solar,4.0,0.0
French Polynesia,Fossil fuels,1.0,0.6666666666666677
French Polynesia,Nuclear,1.0,0.0
French Polynesia,Wind,0.0,0.0
French Polynesia,"Solar, tide, wave, fuel cell",3.0,0.0
French Polynesia,Biomass and waste,3.0,0.0
French Polynesia,Geothermal,3.0,0.0
French Polynesia,Non-hydro renewable,2.0,0.0
French Polynesia,Hydroelectricity,2.0,0.33333333333333387
French Polynesia,Renewable,1.0,0.33333333333333387
French Polynesia,Total Electricity net generation,0.0,1.0
French Polynesia,Hydroelectric pumped storage,1.0,0.0
Sri Lanka,Solar,4.0,0.006666666666666667
Sri Lanka,Tide and wave,4.0,0.0
Sri Lanka,Nuclear,1.0,0.0
Sri Lanka,Fossil fuels,1.0,0.7333333333333333
Sri Lanka,Wind,0.0,0.02666666666666667
Sri Lanka,"Solar, tide, wave, fuel cell",3.0,0.006666666666666667
Sri Lanka,Geothermal,3.0,0.0
Sri Lanka,Hydroelectricity,2.0,0.26666666666666666
Sri Lanka,Renewable,1.0,0.3066666666666666
Sri Lanka,Non-hydro renewable,2.0,0.03999999999999994
Sri Lanka,Total Electricity net generation,0.0,1.0
Sri Lanka,Biomass and waste,3.0,0.0
Sri Lanka,Hydroelectric pumped storage,1.0,0.0
Togo,Tide and wave,4.0,0.0
Togo,Solar,4.0,0.0
Togo,Fossil fuels,1.0,0.0
Togo,Nuclear,1.0,0.0
Togo,Wind,0.0,0.0
Togo,Biomass and waste,3.0,0.0
Togo,"Solar, tide, wave, fuel cell",3.0,0.0
Togo,Geothermal,3.0,0.0
Togo,Non-hydro renewable,2.0,0.0
Togo,Hydroelectricity,2.0,1.0
Togo,Renewable,1.0,1.0
Togo,Total Electricity net generation,0.0,1.0
Togo,Hydroelectric pumped storage,1.0,0.0
Finland,Solar,4.0,0.0
Finland,Tide and wave,4.0,0.0015384615384615385
Finland,Nuclear,1.0,0.3384615384615385
Finland,Fossil fuels,1.0,0.18461538461538463
Finland,"Solar, tide, wave, fuel cell",3.0,0.003076923076923077
Finland,Geothermal,3.0,0.0
Finland,Biomass and waste,3.0,0.18461538461538463
Finland,Hydroelectricity,2.0,0.23076923076923078
Finland,Renewable,1.0,0.49230769230769234
Finland,Non-hydro renewable,2.0,0.26153846153846155
Finland,Total Electricity net generation,0.0,1.0
Finland,Wind,0.0,0.07384615384615383
Finland,Hydroelectric pumped storage,1.0,0.0
Tajikistan,Tide and wave,4.0,0.0
Tajikistan,Solar,4.0,0.0
Tajikistan,Fossil fuels,1.0,0.05
